engineering_strain_mm_per_mm,engineering_stress_mpa
-0.4,-34.358881764705885
-0.395,-33.86696222222222
-0.39,-33.338925
-0.385,-32.747743846153845
-0.38,-32.240219230769235
-0.375,-31.735135294117647
-0.37,-31.232762857142855
-0.365,-30.725131428571427
-0.36,-30.14289384615384
-0.355,-29.59640764705882
-0.35,-29.051919230769233
-0.345,-28.538783571428574
-0.34,-28.016148461538464
-0.335,-27.442517058823533
-0.33,-26.892052307692307
-0.325,-26.337513333333334
-0.32,-25.816492307692307
-0.315,-25.29596
-0.31,-24.73496166666667
-0.305,-24.179905555555553
-0.3,-23.610306666666666
-0.295,-23.095332307692306
-0.29,-22.575569444444444
-0.285,-22.030532142857147
-0.28,-21.475074615384624
-0.275,-20.89698230769231
-0.27,-20.361116923076924
-0.265,-19.83763857142857
-0.26,-19.303295714285714
-0.255,-18.76611846153846
-0.25,-18.16428235294118
-0.245,-17.62490846153846
-0.24,-17.091465714285714
-0.235,-16.545575000000003
-0.23,-16.006842352941174
-0.225,-15.43920153846154
-0.22,-14.888914615384614
-0.215,-14.343449999999999
-0.21,-13.80785
-0.205,-13.271870000000003
-0.2,-12.69447230769231
-0.195,-12.156414615384616
-0.19,-11.62017
-0.185,-11.099446153846154
-0.18,-10.579438571428572
-0.175,-10.022740000000004
-0.17,-9.470868333333335
-0.165,-8.935067142857143
-0.16,-8.428514285714286
-0.155,-7.927647647058824
-0.15,-7.393076923076922
-0.145,-6.881365714285715
-0.14,-6.361876153846155
-0.135,-5.861456923076925
-0.13,-5.373582142857144
-0.125,-4.888082857142858
-0.12,-4.402083846153846
-0.115,-3.899284705882353
-0.11,-3.4454853846153846
-0.105,-2.9913984615384615
-0.1,-2.5736635714285723
-0.095,-2.2075850000000004
-0.09,-1.8444828571428566
-0.085,-1.527373076923077
-0.08,-1.2536283333333331
-0.075,-1.0234442857142858
-0.07,-0.8249246153846156
-0.065,-0.6323807142857142
-0.06,-0.48035846153846146
-0.055,-0.3827233333333333
-0.05,-0.30582000000000004
-0.045,-0.24176214285714284
-0.04,-0.19443307692307693
-0.035,-0.14122538461538467
-0.03,-0.09779999999999998
-0.025,-0.05781538461538462
-0.02,-0.036780769230769235
-0.015,-0.022669230769230764
-0.01,-0.008584444444444445
-0.005,-0.001908
-0.0,-0.0
